cryptocurrency,username,user_id,followers_count,tweet_text,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,SatoshiLite,14338147,915440,"Litecoin is rebranding to BitcoinLite!
https://t.co/ScDeF3hf97

BitcoinLite as Satoshi Nakamoto intended.
#BitcoinLITE #BitcoinLiteFAM https://t.co/oEaPS0yhtV",2021-04-01T14:32:43.000Z,307,310,1793,neu
#bitcoin,aantonop,1469101279,575558,Can you explain the difference between replace by fee and child pays parent? What are the use cases? You asked; heres the answer: https://t.co/LtvVsDIbJn  #bitcoin #btc https://t.co/OMaESyGFsJ,2021-04-04T15:15:03.000Z,9,5,62,neu
#bitcoin,aantonop,1469101279,575558,Someone new to #bitcoin and asking you all about it? Heres a video for that: https://t.co/4khQULZdDR  #cryptocurrency #crypto https://t.co/MTrNqPZXS4,2021-04-04T09:05:11.000Z,49,16,211,neu
#bitcoin,aantonop,1469101279,575558,Would voting be better with #blockchain technology? The hosts of @SpeakingofBitcoin discuss! Listen: https://t.co/MJr0H41vG3 #bitcoin #blockchainvoting #democracy https://t.co/JJymTbSrBo,2021-04-03T19:20:08.000Z,14,6,87,neu
#ethereum,aantonop,1469101279,575558,Want to learn more about #DeFi? Watch this video where I answered 9 different questions about it: https://t.co/mAm0jgLaP6 #ethereum https://t.co/MpNR6oQA5B,2021-04-03T16:03:09.000Z,19,3,96,neu
#bitcoin,aantonop,1469101279,575558,Does running a node at home make you a target? I address this and other security concerns about running a node in this Q&amp;A: https://t.co/6gTVeOvO6l  #crypto #bitcoin https://t.co/lcPIkyTvmL,2021-04-03T00:35:05.000Z,22,6,93,neu
#ethereum,aantonop,1469101279,575558,"Talked about what an #NFT is, and whether or not they can expire in this recent video! https://t.co/BKojmoEMEe  #Ethereum #NFTs #NFTcollectibles https://t.co/pyzA4FlOZp",2021-04-02T19:30:18.000Z,9,1,54,neu
#ethereum,aantonop,1469101279,575558,"#MasteringEthereum ya est disponible en espaol en la tienda de aantonop! Por favor, aydenme a difundir este mensaje entre las comunidades de habla hispana a las que pudieran formar parte!  https://t.co/hxCpJBYuZQ  #Ethereum https://t.co/cLeAxLN8ad",2021-04-02T15:40:17.000Z,10,1,33,neu
#bitcoin,aantonop,1469101279,575558,"Why does #bitcoin matter? (no, it's not for the lambos &amp; teslas) Heres a video to remind you: https://t.co/4khQULZdDR  watch &amp; share 
#cryptocurrency #crypto #btc #newtobitcoin https://t.co/ItfeVGNUPi",2021-04-02T14:45:03.000Z,36,8,147,neu
#bitcoin,aantonop,1469101279,575558,For that person in your life whos new to #crypto and needs the facts: https://t.co/4khQULZdDR #bitcoin https://t.co/NfXueZFSC4,2021-04-02T02:00:10.000Z,46,2,173,neu
#bitcoin,ErikVoorhees,61417559,436922,"I recently spoke with Jon Caldara of the Independent Institute.

This is a good 1+ hr video to recommend for anyone who is skeptical of the Fed and banking establishment, but still unsure about #Bitcoin

 https://t.co/coaMzVq3Lv @IndependentInst

#finance #EndTheFed #USD #liberty",2021-04-04T18:51:26.000Z,7,6,49,neu
#bitcoin,tyler,24222556,604102,"Happy belated birthday Satoshi Nakamoto. You are 46 years young as of yesterday. Thank you for #bitcoin, a contribution to individual freedom as impactful as the printing press, personal computer, and the early, open Internet.",2021-04-06T15:01:29.000Z,513,183,4338,neu
#bitcoin,tyler,24222556,604102,Big News: @Gemini will serve as the custodian and trade execution partner for @BTGPDigital's Bitcoin 20 Multi-Market Investment Fund. This will be the first #bitcoin fund launched by a Brazilian investment bank. Onward!  https://t.co/rB0UxICUFK,2021-04-05T20:03:35.000Z,120,61,885,neu
#bitcoin,tyler,24222556,604102,"When your bank bashes #bitcoin and won't let you get exposure, @Gemini is here to help  https://t.co/feQgEuHoNM",2021-04-01T13:26:56.000Z,40,57,401,neu
#bitcoin,cameron,250980843,435799,"Excited that @Gemini will be the custodian and trade execution partner for the BTG Pactual (@BTGPDigital) #Bitcoin 20 Multi-Market Investment Fund. The first $BTC fund launched by a Brazilian investment bank! 

https://t.co/oGX6kaIUt4",2021-04-06T15:01:36.000Z,51,28,459,neu
#bitcoin,Cointelegraph,2207129125,755554,"How much will Coinbase have if it invested its seed money in Bitcoin? Data circulating on social media reveals that despite Coinbases $800-million profits in Q1, the company would have made $2 billion by buying #BTC instead. https://t.co/ldzRd5Azd4",2021-04-07T15:30:17.000Z,9,7,64,neu
#bitcoin,Cointelegraph,2207129125,755554,"U.K.-based Argo Blockchain has recorded its highest revenue as the rest of the world tries to catch up with Asian miners. According to a new report, China is responsible for 75% of #Bitcoin mining. https://t.co/eOwMnT8dUf",2021-04-07T15:15:08.000Z,13,11,44,neu
