cryptocurrency,username,user_id,followers_count,tweet_without_stopwords,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,rogerkver,176758255,663679,1000 bitcoincash stickers bought bch arrived buy add business,2021-04-13T16:36:19.000Z,69,63,426,neu
#bitcoin cash,rogerkver,176758255,663679,1000 bitcoincash stickers bought bch arrived buy add business,2021-04-13T16:36:19.000Z,69,63,426,neu
#bitcoin,aantonop,1469101279,577594,free bitcoin introductory workshop learn register meow,2021-04-13T20:00:05.000Z,16,8,88,neu
#bitcoin,aantonop,1469101279,577594,visit aantonop shop learn bitcoin books workshops understanding swag discounts buy bundles crypto,2021-04-12T20:00:06.000Z,8,1,33,neu
#bitcoin,aantonop,1469101279,577594,7min video review strategies simple advanced maintain privacy bitcoin,2021-04-10T14:00:12.000Z,69,9,198,neu
#bitcoin,aantonop,1469101279,577594,transferred bitcoin low fee unconfirmed 10 days learn 4min crypto,2021-04-10T08:00:07.000Z,24,16,135,neu
#bitcoin,aantonop,1469101279,577594,weve playlists bitcoin ethereum lightningnetwork qampas check,2021-04-09T14:00:20.000Z,12,3,57,neu
#ethereum,aantonop,1469101279,577594,weve playlists bitcoin ethereum lightningnetwork qampas check,2021-04-09T14:00:20.000Z,12,3,57,neu
#bitcoin,aantonop,1469101279,577594,bitcoin privacy isnt sort thing simple ways increase privacy bitcoin transactions,2021-04-09T08:00:17.000Z,68,12,266,neu
#bitcoin,aantonop,1469101279,577594,afford bitcoin,2021-04-08T14:00:23.000Z,26,7,128,neu
#bitcoin,ErikVoorhees,61417559,440881,behold native unwrapped ethereum native unwrapped bitcoin 5000 trade intermediary custody kyc shapeshiftio today launched decentralized crosschain trading integrating thorchain launched today,2021-04-13T17:24:05.000Z,469,174,2279,neu
#ethereum,ErikVoorhees,61417559,440881,behold native unwrapped ethereum native unwrapped bitcoin 5000 trade intermediary custody kyc shapeshiftio today launched decentralized crosschain trading integrating thorchain launched today,2021-04-13T17:24:05.000Z,469,174,2279,neu
#bitcoin,ErikVoorhees,61417559,440881,quick video al jazeera good intro people bitcoin reasonable explanation basics accurate bitcoin hype start youtube,2021-04-11T13:51:36.000Z,15,10,80,neu
#bitcoin,ErikVoorhees,61417559,440881,bitcoin worlds reserve central mandate capitulating vote span years billion decisionmakers large small choosing widening margins hold scarce asset limitless alternative,2021-04-09T14:15:09.000Z,128,64,781,neu
#bitcoin,tyler,24222556,614221,cia director fud bitcoin tldr broad generalizations bitcoin illicit finance overstated blockchain analysis highly effective crime fighting intelligence gathering tool,2021-04-13T19:02:17.000Z,218,61,1066,neu
#bitcoin,tyler,24222556,613880,bitcoin alltimehigh,2021-04-13T13:03:16.000Z,620,188,6437,neu
#bitcoin,tyler,24222556,614221,40000 publiclytraded companies 32 bitcoin balance sheet early,2021-04-12T20:21:33.000Z,1693,299,10687,neu
#bitcoin,tyler,24222556,614221,amazing bitcoin resource complete list public company private company government fund holds btc,2021-04-12T20:00:38.000Z,516,116,2405,neu
#bitcoin,tyler,24222556,614221,bitcoin ultimate exit strategy,2021-04-11T16:04:18.000Z,452,183,4666,neu
#bitcoin,tyler,24222556,614221,bitcoin commodity supply fixed immune increases caused technological breakthroughs,2021-04-10T22:47:09.000Z,567,289,4138,neu
#bitcoin,tyler,24222556,614221,bitcoin news kryptoin filed amended s1 kryptoin bitcoin etf trust named gemini custodian onward,2021-04-10T18:53:27.000Z,145,53,1345,neu
#bitcoin,tyler,24222556,614221,bitcoin 60k weekend,2021-04-10T12:14:35.000Z,339,145,5087,neu
#bitcoin,tyler,24222556,614221,caruso largest private realestate company bitcoin balance sheet accept btc payment,2021-04-08T13:38:17.000Z,566,133,2815,neu
#bitcoin,cameron,250980843,442523,bitcoin mooning,2021-04-13T15:48:04.000Z,176,99,2483,neu
#bitcoin,cameron,250980843,442523,bitcoin day doctor,2021-04-10T20:15:34.000Z,246,220,3016,neu
#bitcoin,cameron,250980843,442523,fight hsbc banning purchase bitcoin purchases microstrategy mstr,2021-04-09T14:20:33.000Z,726,713,4553,neu
#bitcoin,Cointelegraph,2207129125,770339,crypto mining bring change energy production sector mike colyer ceo foundry digital believes major energy companies economic benefits mining bitcoin lead restructuring renewable energy,2021-04-14T03:00:34.000Z,18,5,56,neu
#bitcoin,Cointelegraph,2207129125,770682,simpsons predict bullish future btc time predicted future,2021-04-13T23:20:00.000Z,26,7,135,neu
#bitcoin,Cointelegraph,2207129125,770682,time magazine time bitcoin popular newyork based magazine partnering grayscale produce content crypto space publication agreed paid btc intends hold balance sheet,2021-04-13T20:45:04.000Z,41,3,173,neu
#dogecoin,Cointelegraph,2207129125,770682,doge price rallied alltime high 0096 dogecoinarmy push popular memecoin 010 mark,2021-04-13T20:33:05.000Z,20,7,95,neu
#bitcoin,Cointelegraph,2207129125,770682,simpsons predict bullish future bitcoin time predicted future,2021-04-13T18:00:16.000Z,16,7,79,neu
#bitcoin,Cointelegraph,2207129125,770682,shares microstrategy surged 10 bitcoin reached alltime highs,2021-04-13T17:17:34.000Z,17,6,81,neu
#bitcoin,Cointelegraph,2207129125,770682,time magazine time bitcoin popular newyork based magazine partnering grayscale produce content crypto space publication agreed paid btc intends hold balance sheet,2021-04-13T15:45:01.000Z,36,3,102,neu
#bitcoin,Cointelegraph,2207129125,770682,drinks miami procrypto biggest nightclubs prepares accept payments cryptocurrencies bitcoin,2021-04-13T13:28:33.000Z,38,12,202,neu
#bitcoin,Cointelegraph,2207129125,770682,60000 support zone bitcoin bulls paying 23 annualized long btc bears borrow margin low 1 ratio scream bullish,2021-04-13T13:15:10.000Z,13,4,66,neu
#bitcoin,Cointelegraph,2207129125,770682,bitcoin hit 70000 analysts bullish breakout imminent bulls manage sustain price 6182584 price move btc,2021-04-13T13:00:16.000Z,14,12,72,neu
#bitcoin,Cointelegraph,2207129125,770682,bitcoin numbers huge cointelegraph markets pro investing strategies historically returned charts lie invest professionals sign today,2021-04-13T11:29:07.000Z,5,8,38,neu
#bitcoin,Cointelegraph,2207129125,770682,bitcoin shattering alltime highs left 70k100k,2021-04-13T11:09:50.000Z,102,15,427,neu
#bitcoin,Cointelegraph,2207129125,770682,bitcoin reaches alltime high 63000 traders discuss,2021-04-13T10:35:05.000Z,45,22,227,neu
#bitcoin,Cointelegraph,2207129125,770682,bitcoin bull market miners making sizeable hardware purchases,2021-04-13T08:07:33.000Z,19,6,107,neu
#bitcoin,Cointelegraph,2207129125,770682,green crypto land raining gains weekend largest weekly close bitcoin analysts predicting breakout attempt move btc,2021-04-12T19:45:01.000Z,12,5,38,neu
#bitcoin,Cointelegraph,2207129125,770682,stimulus check members rcryptocurrency revived interesting history 2010 software developer gavin andresen mission free bitcoin,2021-04-12T19:15:05.000Z,9,4,48,neu
#bitcoin,Cointelegraph,2207129125,770682,pay fees bitcoin public university romanian city sibiu transylvania students pay admission fees crypto,2021-04-12T19:00:06.000Z,39,14,154,neu
#bitcoin,Cointelegraph,2207129125,770682,green crypto land raining gains weekend largest weekly close bitcoin analysts predicting breakout attempt move btc,2021-04-12T17:00:59.000Z,18,7,42,neu
