cryptocurrency,username,user_id,followers_count,tweet_without_stopwords,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,SatoshiLite,14338147,915440,litecoin rebranding bitcoinlite bitcoinlite satoshi nakamoto intended bitcoinlite bitcoinlitefam,2021-04-01T14:32:43.000Z,307,310,1793,neu
#bitcoin,aantonop,1469101279,575558,explain difference replace fee child pays parent cases asked answer bitcoin btc,2021-04-04T15:15:03.000Z,9,5,62,neu
#bitcoin,aantonop,1469101279,575558,bitcoin video cryptocurrency crypto,2021-04-04T09:05:11.000Z,49,16,211,neu
#bitcoin,aantonop,1469101279,575558,voting blockchain technology hosts speakingofbitcoin discuss listen bitcoin blockchainvoting democracy,2021-04-03T19:20:08.000Z,14,6,87,neu
#ethereum,aantonop,1469101279,575558,learn defi watch video answered 9 questions ethereum,2021-04-03T16:03:09.000Z,19,3,96,neu
#bitcoin,aantonop,1469101279,575558,running node target address security concerns running node qampa crypto bitcoin,2021-04-03T00:35:05.000Z,22,6,93,neu
#ethereum,aantonop,1469101279,575558,talked nft expire video ethereum nfts nftcollectibles,2021-04-02T19:30:18.000Z,9,1,54,neu
#ethereum,aantonop,1469101279,575558,masteringethereum ya est disponible en espaol en la tienda de aantonop por favor aydenme difundir este mensaje entre las comunidades de habla hispana las pudieran formar parte ethereum,2021-04-02T15:40:17.000Z,10,1,33,neu
#bitcoin,aantonop,1469101279,575558,bitcoin matter lambos teslas video remind watch share cryptocurrency crypto btc newtobitcoin,2021-04-02T14:45:03.000Z,36,8,147,neu
#bitcoin,aantonop,1469101279,575558,person life crypto facts bitcoin,2021-04-02T02:00:10.000Z,46,2,173,neu
#bitcoin,ErikVoorhees,61417559,436922,spoke jon caldara independent institute good 1 hr video recommend skeptical fed banking establishment unsure bitcoin independentinst finance endthefed usd liberty,2021-04-04T18:51:26.000Z,7,6,49,neu
#bitcoin,tyler,24222556,604102,happy belated birthday satoshi nakamoto 46 years young yesterday bitcoin contribution individual freedom impactful printing press personal computer early open internet,2021-04-06T15:01:29.000Z,513,183,4338,neu
#bitcoin,tyler,24222556,604102,big news gemini serve custodian trade execution partner btgpdigitals bitcoin 20 multimarket investment fund bitcoin fund launched brazilian investment bank onward,2021-04-05T20:03:35.000Z,120,61,885,neu
#bitcoin,tyler,24222556,604102,bank bashes bitcoin exposure gemini,2021-04-01T13:26:56.000Z,40,57,401,neu
#bitcoin,cameron,250980843,435799,excited gemini custodian trade execution partner btg pactual btgpdigital bitcoin 20 multimarket investment fund btc fund launched brazilian investment bank,2021-04-06T15:01:36.000Z,51,28,459,neu
#bitcoin,Cointelegraph,2207129125,755554,coinbase invested seed money bitcoin data circulating social media reveals coinbases 800million profits q1 company 2 billion buying btc,2021-04-07T15:30:17.000Z,9,7,64,neu
#bitcoin,Cointelegraph,2207129125,755554,ukbased argo blockchain recorded highest revenue rest catch asian miners report china responsible 75 bitcoin mining,2021-04-07T15:15:08.000Z,13,11,44,neu
#bitcoin,Cointelegraph,2207129125,755554,governments implement progressive crypto regulations goldman sachs actively searches ways provide bitcoin exposure clients ceo predicted big evolution regulatory environment,2021-04-07T15:00:12.000Z,12,6,52,neu
#polkadot,Cointelegraph,2207129125,755554,polkadot thirdlargest futures market surpassing litecoin xrp open interest climbed record high 1 billion bullish bearish dot reporting cointelegraphmt,2021-04-07T14:44:01.000Z,21,0,113,neu
#bitcoin,Cointelegraph,2207129125,755554,bullish april great start bitcoins market cap stayed 1 trillion longest period onchain data suggests people hodling btc positive price action,2021-04-07T05:20:01.000Z,12,12,87,neu
#bitcoin,Cointelegraph,2207129125,755554,glassnode reports 198 btc moved onchain market cap bitcoin held strong 1 trillion ten days future price btc,2021-04-07T01:40:01.000Z,14,6,85,neu
#polkadot,Cointelegraph,2207129125,755554,tether coming polkadot oldest popular stablecoin deployed polkadot blockchain platform implemented parachain shards bullish dot,2021-04-06T20:15:08.000Z,23,6,150,neu
#bitcoin,Cointelegraph,2207129125,755554,youve wanted bitcoin trading confidence skills book read,2021-04-06T17:26:33.000Z,9,9,53,neu
#bitcoin,Cointelegraph,2207129125,755554,bitcoin ready major rally analysis possibility strong breakout foreseeable future btc stays 57046 continues test 60000 resistance reporting cointelegraphmt,2021-04-06T15:00:32.000Z,13,6,75,neu
#bitcoin,Cointelegraph,2207129125,755554,bitcoin crush market cap gold analyst ark invest believes btc comfortably eclipse 10t market cap gold,2021-04-06T02:45:01.000Z,30,9,156,neu
