cryptocurrency,username,user_id,followers_count,tweet_without_stopwords,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,aantonop,1469101279,573049,bitcoin ethereum lightningnetwork node running,2021-03-31T02:00:11.000Z,21,6,89,neu
#ethereum,aantonop,1469101279,573049,bitcoin ethereum lightningnetwork node running,2021-03-31T02:00:11.000Z,21,6,89,neu
#bitcoin,aantonop,1469101279,573049,qampa livestream join learn crypto bitcoin open blockchains,2021-03-28T17:00:21.000Z,6,0,47,neu
#bitcoin,aantonop,1469101279,573049,months open topic qampa livestream starts 30min ill answering questions bitcoin ethereum lightningnetwork join chat,2021-03-28T16:30:09.000Z,12,1,47,neu
#ethereum,aantonop,1469101279,573049,months open topic qampa livestream starts 30min ill answering questions bitcoin ethereum lightningnetwork join chat,2021-03-28T16:30:09.000Z,12,1,47,neu
#bitcoin,aantonop,1469101279,573049,forget tomorrow months qampa livestream top voted topics include bitcoin energy consumption transaction fees set reminder,2021-03-27T20:00:09.000Z,18,9,83,neu
#bitcoin,aantonop,1469101279,573049,pay bitcoin transaction fees learn replace fee child pays parent fee management features wallet,2021-03-26T08:00:09.000Z,16,2,76,neu
#bitcoin,aantonop,1469101279,573049,bitcoin wondering matters watch crypto,2021-03-25T20:00:14.000Z,57,6,195,neu
#bitcoin,aantonop,1469101279,573049,comments video short sweet point clear learn stuck bitcoin transactions 5 minutes,2021-03-25T08:00:08.000Z,12,4,75,neu
#bitcoin,aantonop,1469101279,573049,flying standby doesnt aviation bitcoin crypto airplane,2021-03-24T14:01:09.000Z,14,6,112,neu
#bitcoin,ErikVoorhees,61417559,434171,profit motive capitalism bitcoin acceleration green energy governmental panel accord statists pleased,2021-03-25T02:30:47.000Z,102,37,637,neu
#bitcoin,tyler,24222556,593495,government ban bitcoin questions asked answered regulators courts decade ship sailed,2021-03-27T18:01:04.000Z,1092,524,7746,neu
#bitcoin,tyler,24222556,593495,marijuana thing boomers wrong glad york correcting misguided laws wasted tax payer money destroyed lives boomers dollar wrong god bitcoin,2021-03-26T20:13:55.000Z,207,151,1813,neu
#bitcoin,tyler,24222556,593495,temasek 306 billion singapore sovereign wealth fund stacking bitcoin 2018 central banks,2021-03-25T13:04:21.000Z,578,109,2417,neu
#bitcoin,tyler,24222556,593495,ridicule vitriol leveled nfts today traditional art reminiscent wall street central bankers spoke bitcoin 10 years ago story unfolding,2021-03-24T21:48:34.000Z,251,152,1693,neu
#bitcoin,tyler,24222556,593495,great celebrities lala start discover bitcoin hedge chaos uncertainty today btc protection government money printing oncoming inflation aboard gemini la la,2021-03-24T16:49:05.000Z,67,65,571,neu
#bitcoin,tyler,24222556,593495,buy tesla bitcoin,2021-03-24T12:38:12.000Z,484,238,5468,neu
#bitcoin,cameron,250980843,427763,story tyler bitcoin tech meetupjust kiddingit ibiza 2012,2021-03-30T17:49:16.000Z,83,81,864,neu
#bitcoin,cameron,250980843,427763,bitcoin cancelproof,2021-03-28T18:17:21.000Z,221,154,2473,neu
